"","postcode_clean","Respondents","1. Do you give your consent to take part in this study?","2. What is your current age in years?","3. What is your gender?","4. Do you currently live in the UK?","5. What are the first 3 digits of your postcode? (e.g., HU5, YO1).","6. Please click the item that best describes the neighbourhood you live in:","7. Are you a member of an environmental charity or community group? (i.e., RSPB, ""Friends of"" group)","8. Do you participate in any form of nature recording? (e.g., via apps iNaturalist, Seek, Merlin or as an amateur naturalist)","9.1. 1. I always find beauty in nature.","9.2. 2. I always treat nature with respect.","9.3. 3. Being in nature makes me very happy.","9.4. 4. Spending time in nature is very important to me.","9.5. 5. I find being in nature really amazing.","9.6. 6. I feel part of nature.","10. How often do you visit blue spaces?","10.1. Rivers, canals and dykes","10.2. Park lakes","10.3. Coastal areas","10.4. Estuaries","10.5. Marinas","11. Have you heard of the term ""rewilding""?","12.1. Cities should have more blue spaces","12.2. Blue spaces are important for nature","12.3. Blue spaces in the UK are in poor condition","12.4. Blue spaces are important for my health and wellbeing","12.5. We should “rewild” UK blue spaces","13. Do you carry out any of these activities around blue spaces?","14. In three words describe a blue space in your local area","15. In three words describe a ""wild"" blue space in your local area","16. What wildlife have you seen around blue spaces?","17. What types of wildlife would you like to see more of?","18. Would you consider providing a blue space (e.g., large nature pond or mini bucket pond) in your garden, allotment or other available outdoor space?","19. How would you improve blue spaces for people and nature?","Start Date","Completion Date","X","Y","fid","postcode","positional","country_co","nhs_region","nhs_ha_cod","admin_coun","admin_dist","admin_ward"
"62","HU10","Respondent 55","I give consent to take part in this study",65,"Female","Yes","HU10","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","4","2",NA,"Monthly","Monthly","Monthly","Monthly","Once a year","Yes","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","Village Pond ducks","Nature reserve nearby","Ducks gulls frogs","Birds","I already do","Keep them free from litter","2025-04-11 19:51:32 UTC","2025-04-11 19:58:02 UTC",502882,429805,668327,"HU10 6AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001711"
"63","HU11","Respondent 289","I give consent to take part in this study",68,"Male","Yes","Hu11","Rural (i.e., mostly countryside with few houses or buildings)","No","No","2","3","2","1. completely Agree","3","4",NA,"Weekly","Every 6 months","Weekly","Monthly","Monthly","Yes","Agree","Agree","Neutral","Agree","Partially agree","Exercise (e.g., walking, kayaking, swimming) ,Rock pooling","Quiet, secluded, secret","Remote bleak inspiring","Birds, hares, deer, foxes, rabbits, amphibians, fish, snake","Amphibians snakes","I would if I had the space","Not sure","2025-05-27 17:42:33 UTC","2025-05-27 17:51:06 UTC",515595,432805,668856,"HU11 4AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001701"
"64","HU12","Respondent 14","I give consent to take part in this study",26,"Male","Yes","HU12","Rural (i.e., mostly countryside with few houses or buildings)","No","No","2","2","2","2","2","4",NA,"Monthly","Monthly","Weekly","Weekly","Weekly","Yes","Strongly agree","Strongly agree","Neutral","Partially agree","Strongly agree","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","Industrial, underutilised, dirty","Luscious, rich, thriving","Cranes, fish, insects, birds","More birds","Maybe, I would consider providing a blue space with more information or assistance","Cleaning garbage","2025-03-15 21:30:59 UTC","2025-03-15 21:34:14 UTC",526894,424386,669275,"HU12 0AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001707"
"65","HU12","Respondent 218","I give consent to take part in this study",66,"Male","Yes","HU12","Rural (i.e., mostly countryside with few houses or buildings)","Yes","Yes","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Monthly","Once a year","Weekly","Weekly","Never","Yes","Strongly agree","Strongly agree","Neutral","Strongly agree","Partially agree","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Fishing","East Yorkshire coast","Spurn point","Birds, deer, foxes, rabbits, Dolphins","Pine Martin, wild cats","Maybe, I would consider providing a blue space with more information or assistance","Spend more money on them!","2025-05-22 13:27:36 UTC","2025-05-22 13:35:00 UTC",526894,424386,669275,"HU12 0AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001707"
"66","HU12","Respondent 169","I give consent to take part in this study",41,"Female","Yes","Hu12","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Weekly","Every 6 months","Monthly","Weekly","Monthly","Yes","Agree","Strongly agree","Agree","Strongly agree","Partially agree","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography,Feeding wildlife (e.g., ducks, fish),Rock pooling","Tranquil, wild, restorative","Wildlife, green, polluted","Birds (various) , bees, butterflies, dragonflies, rabbits, deer","More of the same","I would if I had the space","Litter pick, native wildflower seed bomb, point out wildlife I see to others around me, contribute to nature spotting and conservation","2025-05-06 09:47:37 UTC","2025-05-06 09:55:09 UTC",526894,424386,669275,"HU12 0AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001707"
"67","HU13","Respondent 91","I give consent to take part in this study",36,"Female","Yes","HU13","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","2","1. completely Agree","1. completely Agree","2","3","4",NA,"Every 6 months","Monthly","Every 6 months","Monthly","Monthly","No","Agree","Strongly agree","Partially agree","Agree","Partially agree","Exercise (e.g., walking, kayaking, swimming) ,Feeding wildlife (e.g., ducks, fish)","Green, appealing, safe","Beautiful, calm, safe","Birds, insects, fish","A greater differentiation of birds, butterflies, foxes","I would if I had the space","Ensuring they were maintained and safe for all that access them","2025-04-15 17:21:01 UTC","2025-04-15 17:34:15 UTC",503339,426307,670051,"HU13 0AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001698"
"68","HU13","Respondent 78","I give consent to take part in this study",41,"Male","Yes","Hu13","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Monthly","Every 6 months","Every 6 months","Weekly","Every 6 months","Yes","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography,Pond dipping,Rock pooling","Mostly for fishing","Rich in biodiversity","Too many to list, but some of the most relevant to the habitat without creating a hige list would be taxa such as Odonata, alongside Amphibians, Bird species, and aquatic Flora.","Reptiles and Amphibians, Invertebrates, and Birds.","I would if I had the space","Sympathetically manage in a way that keeps native biodiversity high within the area, but in a way that still can be perceived as 'attractive' by the general public. Bridging the gap between nature and the outdated idea that green and blue spaces sound be heavily managed and almost 'sterile' to be visually appealing.","2025-04-15 10:44:11 UTC","2025-04-15 10:55:37 UTC",503339,426307,670051,"HU13 0AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001698"
"69","HU13","Respondent 152","I give consent to take part in this study",36,"Male","Yes","HU13","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1. completely Agree","1. completely Agree","1. completely Agree","2","1. completely Agree","2",NA,"Every 6 months","Every 6 months","Every 6 months","Every 6 months","Monthly","No","Agree","Agree","Agree","Agree","Agree","Exercise (e.g., walking, kayaking, swimming)","Little Switzerland, awesome","The River Humber?","Variety of birds","Unrealistic to see types which aren't common to us, but would be nice to see more of the wildlife we have","I would if I had the space","Unsure as I don't know enough about them to state how to improve one but as a basic guess, I can only assume that providing more areas for wildlife to flourish can only impact the world in a positive way, however that may be.","2025-04-20 12:14:26 UTC","2025-04-20 12:26:30 UTC",503339,426307,670051,"HU13 0AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001698"
"70","HU13","Respondent 109","I give consent to take part in this study",36,"Female","Yes","Hu13","Suburban (i.e., mostly houses, located just outside a city or town)","No","Yes","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Monthly","Every 6 months","Every 6 months","Every 6 months","Every 6 months","Yes","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography,Feeding wildlife (e.g., ducks, fish),Pond dipping,Rock pooling","Calming beautiful windy","Needs more care","Dragonflies, ducks, damselflies, swans, fish, birds, beetles, geese","Swans","I would if I had the space","Litter seems to be a big problem in a lot of blue spaces, more seating for people to sit and enjoy their surroundings","2025-04-16 09:11:42 UTC","2025-04-16 09:19:30 UTC",503339,426307,670051,"HU13 0AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001698"
"71","HU13","Respondent 131","I give consent to take part in this study",38,"Male","Yes","Hu13","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Monthly","Weekly","Monthly","Weekly","Monthly","Yes","Strongly agree","Strongly agree","Partially agree","Strongly agree","Strongly agree","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Pond dipping,Rock pooling","Big open fields","Humber estuart","Yes","Mamals","I already do","More protection","2025-04-17 12:19:40 UTC","2025-04-17 12:24:07 UTC",503339,426307,670051,"HU13 0AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001698"
"72","HU13","Respondent 180","I give consent to take part in this study",57,"Male","Yes","Hu13","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","2","2","1. completely Agree","1. completely Agree","1. completely Agree","3",NA,"Weekly","Monthly","Monthly","Weekly","Every 6 months","Yes","Agree","Agree","Agree","Agree","Partially agree","Exercise (e.g., walking, kayaking, swimming)","Calming.  Open.  Light","Open.  Natural  Pretty","Birds. Fish","Insects","Maybe, I would consider providing a blue space with more information or assistance","Improve wheeled access. Buggy and wheelchair","2025-05-19 11:23:20 UTC","2025-05-19 11:37:48 UTC",503339,426307,670051,"HU13 0AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001698"
"73","HU13","Respondent 158","I give consent to take part in this study",82,"Female","Yes","HU13","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","2","2",NA,"Every 6 months","Never","Every 6 months","Never","Every 6 months","No","Strongly agree","Strongly agree","Partially agree","Partially agree","Partially agree","I don't carry out any of these activities","Dirty River Humber","Don't know.","Squirrels, foxes, deers.","Different species of birds.","No","Too many cats in my area.","2025-04-21 12:50:49 UTC","2025-04-21 13:02:26 UTC",503339,426307,670051,"HU13 0AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001698"
"74","HU13","Respondent 98","I give consent to take part in this study",73,"Female","Yes","Hu13","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","2",NA,"Every 6 months","Every 6 months","Every 6 months","Every 6 months","Once a year","Yes","Partially agree","Partially agree","Neutral","Partially agree","Partially disagree","Nature watching","River humber","Humber bridge park","Ducks, swans, birds, rabbits","Deer","I would if I had the space","Places to sit, maybe a viewing area with stationary binoculars","2025-04-15 20:37:52 UTC","2025-04-15 20:45:41 UTC",503339,426307,670051,"HU13 0AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001698"
"75","HU13","Respondent 179","I give consent to take part in this study",49,"Male","Yes","HU13","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Weekly","Every 6 months","Monthly","Weekly","Monthly","Yes","Agree","Strongly agree","Neutral","Strongly agree","Partially agree","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","Relaxing flat river","Wild life reserve","Otters, deer, snakes, birds","Otters","I would if I had the space","Reduced contamination for individuals activities eg private boat pollution and corporate contamination such as sewage.","2025-05-19 10:54:10 UTC","2025-05-19 11:02:33 UTC",503339,426307,670051,"HU13 0AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001698"
"76","HU13","Respondent 89","I give consent to take part in this study",73,"Female","Yes","Hu13","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","3",NA,"Monthly","Weekly","Weekly","Monthly","Every 6 months","Yes","Strongly agree","Strongly agree","Partially disagree","Strongly agree","Agree","Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Feeding wildlife (e.g., ducks, fish)","Humber foreshore","Humber estuary","Geese swans ducks","Herons kingfisher","I would if I had the space","Plenty of bins and info boards","2025-04-15 16:30:45 UTC","2025-04-15 16:35:45 UTC",503339,426307,670051,"HU13 0AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001698"
"77","HU14","Respondent 94","I give consent to take part in this study",60,"Female","Yes","HU14","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Weekly","Every 6 months","Every 6 months","Once a year","Every 6 months","Yes","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","North cave wetlands","Mires beck","Greece, herons,kingfishers.swans,ducks,fish","Mandarin ducks, great crested grebes","I would if I had the space","Firstly addressing pollution. Restore existing areas & improve access/amenities..for wildlife, nature and people’s health benefits..","2025-04-15 19:01:13 UTC","2025-04-15 19:22:32 UTC",498857,425654,670481,"HU14 3AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001708"
"78","HU15","Respondent 6","I give consent to take part in this study",65,"Female","Yes","HU15","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1. completely Agree","2","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Monthly","Never","Weekly","Every 6 months","Every 6 months","Yes","Agree","Agree","Agree","Agree","Agree","Nature watching,Exercise (e.g., walking, kayaking, swimming)","river humber","humber estuary","birds","more birds and butterflies","No","better use of flood areas","2025-03-13 20:27:56 UTC","2025-03-13 20:31:54 UTC",494090,426994,670719,"HU15 1AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001693"
"79","HU15","Respondent 11","I give consent to take part in this study",72,"Female","Yes","HU15","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Weekly","Every 6 months","Every 6 months","Monthly","Monthly","Yes","Agree","Strongly agree","Partially agree","Strongly agree","Partially agree","Exercise (e.g., walking, kayaking, swimming)","Beautiful calming unpredictable","Solitary peaceful flowing","Birds newts insects fish","Birds,  crickets, dragon flys hedgehogs","Maybe, I would consider providing a blue space with more information or assistance","Remove litter provide paths and access for those that are challenged by mobility issues. Seats","2025-03-15 15:00:35 UTC","2025-03-15 15:09:46 UTC",494090,426994,670719,"HU15 1AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001693"
"80","HU15","Respondent 185","I give consent to take part in this study",43,"Male","Yes","Hu15","Rural (i.e., mostly countryside with few houses or buildings)","Yes","Yes","2","2","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Weekly","Monthly","Monthly","Weekly","Every 6 months","Yes","Partially agree","Strongly agree","Partially disagree","Strongly agree","Partially agree","Nature watching,Fishing,Photography,Pond dipping","Amazing wild-ish corridor","No such thing","Bittern","Waterfowl","I already do","Reconnect the drains with the people. Improve water levels in Beverley and Barmston Drain","2025-05-19 19:07:17 UTC","2025-05-19 19:14:16 UTC",494090,426994,670719,"HU15 1AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001693"
"81","HU16","Respondent 43","I give consent to take part in this study",53,"Male","Yes","HU16","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1. completely Agree","2","1. completely Agree","1. completely Agree","1. completely Agree","3",NA,"Weekly","Every 6 months","Every 6 months","Monthly","Never","Yes","Strongly agree","Strongly agree","Partially agree","Strongly agree","Strongly agree","Exercise (e.g., walking, kayaking, swimming)","Important interesting alive","Natural biodiversity essential","N/a","All","Maybe, I would consider providing a blue space with more information or assistance","Remove litter, encourage biodiversity","2025-04-07 08:13:38 UTC","2025-04-07 08:18:54 UTC",504576,432645,672000,"HU16 4AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001692"
"82","HU16","Respondent 295","I give consent to take part in this study",53,"Male","Yes","HU16","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Monthly","Monthly","Monthly","Monthly","Every 6 months","Yes","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography,Rock pooling","Struggling Fascinating calming","Struggling Fascinating Essential","Birds, Dragonflies, Moths, Butterflies, huge range of invertebrates, fish","All types. Starting with invertebrates.","I already do","Educating people about them. Getting people (especially young people) to understand hopefully to lead to caring for them.","2025-05-29 19:32:06 UTC","2025-05-29 19:41:17 UTC",504576,432645,672000,"HU16 4AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001692"
"83","HU16","Respondent 104","I give consent to take part in this study",45,"Female","Yes","Hu16","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","2","1. completely Agree","1. completely Agree","1. completely Agree","2","2",NA,"Monthly","Monthly","Monthly","Monthly","Monthly","Yes","Agree","Agree","Agree","Agree","Partially agree","Nature watching","Space to reflect","Naturally balanced space","Dragonflies, birds, frogs","Everything!","I already do","Stop pollution- including human and animal waste, agricultural run off plus chemicals","2025-04-16 06:31:32 UTC","2025-04-16 06:37:06 UTC",504576,432645,672000,"HU16 4AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001692"
"84","HU16","Respondent 197","I give consent to take part in this study",54,"Female","Yes","HU16","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","2","2","2","2","2","3",NA,"Monthly","Every 6 months","Monthly","Monthly","Every 6 months","Yes","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Dog walking,Exercise (e.g., walking, kayaking, swimming)","A stream","Hornsea beach","Dolphins, seals, range of sea birds","Garden birds","I already do","Knowledge about what is missing and how to improve","2025-05-21 12:10:28 UTC","2025-05-21 12:16:28 UTC",504576,432645,672000,"HU16 4AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001692"
"85","HU16","Respondent 53","I give consent to take part in this study",63,"Female","Yes","HU16","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","2","1. completely Agree","2","1. completely Agree","2","1. completely Agree",NA,"Every 6 months","Once a year","Once a year","Once a year","Never","Yes","Partially agree","Agree","Neutral","Partially agree","Partially agree","Nature watching","Small garden pond","Humber foreshore","Frogs, newts, dragonflies, damselflies, beetles, birds","Newts","I already do","Don't know","2025-04-11 19:22:06 UTC","2025-04-11 19:30:29 UTC",504576,432645,672000,"HU16 4AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001692"
"86","HU17","Respondent 208","I give consent to take part in this study",78,"Male","Yes","Hu17","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","3","2","2","1. completely Agree","3","2",NA,"Weekly","Never","Monthly","Every 6 months","Never","Yes","Neutral","Strongly agree","Strongly agree","Strongly agree","Neutral","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Fishing","River Hull Tickton","West Beck Wansford","Otters ,mink ,cormorants ,kingfishers ,grass snake ,heron ,bittern  ,etc","White tailed eagle","No","Improve water quality ,reduce water abstraction and in Beverley ,take control of the boats moored on the River Hull and on the River at Hempholme boats","2025-05-21 19:44:27 UTC","2025-05-21 19:54:11 UTC",503546,439536,673609,"HU17 0AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001705"
"87","HU17","Respondent 106","I give consent to take part in this study",50,"Female","Yes","Hu17","Rural (i.e., mostly countryside with few houses or buildings)","No","Yes","2","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","2",NA,"Once a year","Every 6 months","Monthly","Every 6 months","Monthly","Yes","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Feeding wildlife (e.g., ducks, fish),Pond dipping,Rock pooling","Calm restorative peaceful","Natural wonderful calming","Porpoise, various birds and insects, otters","Otters, seals, birds, insects, badgers, red squirrels, birds of prey, voles","I already do","I don’t know","2025-04-16 07:16:46 UTC","2025-04-16 07:29:30 UTC",503546,439536,673609,"HU17 0AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001705"
"88","HU17","Respondent 70","I give consent to take part in this study",43,"Male","Yes","HU17","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Weekly","Monthly","Monthly","Monthly","Every 6 months","Yes","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography,Rock pooling","coastal chalk beach","The River Hull","Birds, Mammals, Invertebrates","everything","I already do","Manage need for biodiversity with access for people effectively","2025-04-14 09:40:12 UTC","2025-04-14 09:44:49 UTC",503546,439536,673609,"HU17 0AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001705"
"89","HU17","Respondent 142","I give consent to take part in this study",24,"Male","Yes","HU17","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","5",NA,"Every 6 months","Once a year","Monthly","Monthly","Once a year","Yes","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Nature watching,Exercise (e.g., walking, kayaking, swimming)","Polluted, clinging-on, disrespected","Teeming, peaceful, hope","Birds, butterflies, dragonflies, rats, frogs, newts, deer","Birds, mammals and insects","I would if I had the space","More intensive wildlife policing, large-scale cleanups, improve public wildlife education, well coordinated rewinding schemes to improve biodiversity","2025-04-18 16:20:07 UTC","2025-04-18 16:35:52 UTC",503546,439536,673609,"HU17 0AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001705"
"90","HU17","Respondent 292","I give consent to take part in this study",44,"Female","Yes","HU17","Suburban (i.e., mostly houses, located just outside a city or town)","No","Yes","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Monthly","Every 6 months","Every 6 months","Monthly","Every 6 months","Yes","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography","Beverley beck","Don't know","Blue tit's and Robins","Everything included Hedgehogs","I already do","Public transport accessible","2025-05-28 16:13:23 UTC","2025-05-28 16:19:18 UTC",503546,439536,673609,"HU17 0AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001705"
"91","HU17","Respondent 200","I give consent to take part in this study",64,"Female","Yes","Hu17","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree",NA,"Weekly","Monthly","Weekly","Every 6 months","Once a year","No","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Exercise (e.g., walking, kayaking, swimming)","Hornsea beach","Hornsea beach","Seals","Dolphins","Maybe, I would consider providing a blue space with more information or assistance","Keep it clean","2025-05-21 13:00:40 UTC","2025-05-21 13:05:41 UTC",503546,439536,673609,"HU17 0AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001705"
"92","HU17","Respondent 273","I give consent to take part in this study",59,"Female","Yes","HU17","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","2",NA,"Monthly","Monthly","Monthly","Monthly","Once a year","Yes","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","life beauty value","life beauty joy","wide range of species","everything","Maybe, I would consider providing a blue space with more information or assistance","Provide more areas for nature to thrive.  Water is the essential element for natural spaces.","2025-05-26 16:18:41 UTC","2025-05-26 16:31:37 UTC",503546,439536,673609,"HU17 0AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001705"
"93","HU17","Respondent 61","I give consent to take part in this study",42,"Female","Yes","HU17","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","2",NA,"Monthly","Every 6 months","Monthly","Every 6 months","Monthly","Yes","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","Busy Undermanaged Improving","Overused Littered Noisy","Birds, Butterflies, Fish,","Birds","Maybe, I would consider providing a blue space with more information or assistance","I would make sure they were clean spaces to go to with interpretation boards to let people know what was around and maybe a sightings board.","2025-04-12 17:08:59 UTC","2025-04-12 17:15:20 UTC",503546,439536,673609,"HU17 0AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001705"
"94","HU17","Respondent 237","I give consent to take part in this study",57,"Male","Yes","hu17","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","1. completely Agree","2",NA,"Every 6 months","Once a year","Monthly","Monthly","Once a year","Yes","Agree","Agree","Neutral","Agree","Agree","Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Fishing","Hornsea beach","Filey Brigg","dolphins","all marine life","I would if I had the space","keep dogs away","2025-05-22 20:43:45 UTC","2025-05-22 20:47:19 UTC",503546,439536,673609,"HU17 0AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001705"
"95","HU17","Respondent 299","I give consent to take part in this study",74,"Male","Yes","hu17","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","2","1. completely Agree","2","1. completely Agree","2","2",NA,"Monthly","Monthly","Monthly","Every 6 months","Every 6 months","Yes","Partially agree","Neutral","Neutral","Partially agree","Partially agree","Exercise (e.g., walking, kayaking, swimming) ,Photography","define blue space","define blue space","ditto","greater variety of local bird life, hedghogs","I would if I had the space","educate and provide incentives","2025-06-01 08:56:19 UTC","2025-06-01 09:05:45 UTC",503546,439536,673609,"HU17 0AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001705"
"96","HU17","Respondent 107","I give consent to take part in this study",64,"Female","Yes","HU17","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","1. completely Agree","1. completely Agree","2","1. completely Agree","2","3",NA,"Monthly","Every 6 months","Every 6 months","Every 6 months","Never","Yes","Partially agree","Agree","Agree","Agree","Agree","Nature watching,Exercise (e.g., walking, kayaking, swimming)","Lots of wildlife","Birds, plants, newts","Birds, plants, trees, amphibians, rodents, invertebrates","Greater variety and numbers of all particularly invertebrates","I already do","Improve water quality and develop safe spaces for people to swim. Create wildlife habitats. Work with farmers to reduce/stop pesticide and fertiliser runoff","2025-04-16 07:55:26 UTC","2025-04-16 08:20:24 UTC",503546,439536,673609,"HU17 0AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001705"
"97","HU17","Respondent 144","I give consent to take part in this study",67,"Female","Yes","Hu17","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","2","1. completely Agree","2","1. completely Agree","1. completely Agree","2",NA,"Monthly","Once a year","Monthly","Once a year","Once a year","Yes","Strongly agree","Strongly agree","Agree","Neutral","Agree","Nature watching,Exercise (e.g., walking, kayaking, swimming)","Beverley beck","Could be cleaner","Birds","More diverse birds and pollinators","Maybe, I would consider providing a blue space with more information or assistance","Tackle the pollution from Yorkshire water","2025-04-18 17:19:21 UTC","2025-04-18 17:32:23 UTC",503546,439536,673609,"HU17 0AA",10,"E92000001","E19000001","E18000003","","E06000011","E05001705"
